test group,converted,total ads,most ads day,most ads hour
0,False,0.3,3,0.590909
0,False,0.716667,6,0.727273
0,False,0.416667,5,0.818182
0,False,0.733333,6,0.772727
0,False,0.533333,3,0.727273
0,False,0.666667,5,0.818182
0,False,0.866667,1,0.545455
0,False,0.65,5,0.545455
0,False,0.0,5,0.818182
0,False,0.633333,5,0.727273
0,False,0.566667,6,0.454545
0,False,0.466667,5,0.818182
0,False,0.516667,5,0.545455
1,False,0.333333,4,0.636364
0,False,0.116667,1,0.818182
0,False,0.0,5,0.818182
1,False,0.016667,5,0.818182
0,False,0.583333,4,1.0
0,False,0.466667,5,0.818182
0,False,0.65,4,0.545455
0,False,0.316667,5,0.545455
0,False,0.5,3,0.954545
0,False,0.75,4,0.5
0,False,0.55,0,0.5
0,False,0.45,0,0.590909
0,False,0.383333,6,0.409091
0,False,0.233333,0,0.636364
0,False,0.166667,2,0.545455
0,False,0.216667,0,0.681818
0,False,0.816667,5,0.818182
0,False,0.983333,0,0.909091
0,False,0.65,0,0.227273
0,False,0.033333,5,0.818182
1,False,0.15,1,0.863636
0,False,0.916667,6,1.0
0,False,0.683333,0,0.909091
0,False,1.0,3,0.636364
0,False,0.6,5,0.818182
0,False,0.166667,0,0.590909
0,False,0.75,6,0.636364
0,False,0.816667,5,0.863636
1,False,0.033333,5,0.818182
0,False,0.233333,4,0.863636
0,False,0.883333,5,0.909091
0,False,0.566667,5,0.863636
0,False,0.333333,4,0.818182
0,False,0.833333,3,0.863636
0,False,0.633333,5,0.818182
0,False,0.316667,2,0.818182
0,False,0.2,5,0.818182
1,False,0.566667,5,0.863636
0,False,0.55,5,0.909091
0,False,0.433333,0,0.818182
0,False,0.583333,1,0.363636
0,False,0.066667,4,0.818182
0,False,0.316667,0,0.045455
0,False,0.05,5,0.818182
0,False,0.816667,0,0.727273
0,False,0.15,1,0.818182
0,False,0.5,1,0.5
